date,Open,High,Low,Close,Volume,TimeDelta,DT
2018-09-21 14:27:00,292.42,292.44,292.41,292.44,69802.0,45000.0,2018-09-21 14:27:00
2018-09-21 14:28:00,292.44,292.46,292.435,292.435,59190.0,45000.0,2018-09-21 14:28:00
2018-09-21 14:29:00,292.43,292.45,292.42,292.445,69904.0,45000.0,2018-09-21 14:29:00
2018-09-21 14:30:00,292.4499,292.46,292.43,292.45,123377.0,45000.0,2018-09-21 14:30:00
2018-09-21 14:31:00,292.45,292.45,292.43,292.45,49237.0,45000.0,2018-09-21 14:31:00
2018-09-21 14:32:00,292.44,292.47,292.44,292.46,96477.0,45000.0,2018-09-21 14:32:00
2018-09-21 14:33:00,292.46,292.49,292.44,292.47,74466.0,45000.0,2018-09-21 14:33:00
2018-09-21 14:34:00,292.46,292.47,292.44,292.44,56693.0,45000.0,2018-09-21 14:34:00
2018-09-21 14:35:00,292.435,292.44,292.425,292.44,47073.0,45000.0,2018-09-21 14:35:00
2018-09-21 14:36:00,292.43,292.5,292.43,292.5,438580.0,45000.0,2018-09-21 14:36:00
2018-09-21 14:37:00,292.51,292.52,292.47,292.52,147185.0,45000.0,2018-09-21 14:37:00
2018-09-21 14:38:00,292.52,292.52,292.4799,292.5,83657.0,45000.0,2018-09-21 14:38:00
2018-09-21 14:39:00,292.5,292.51,292.48,292.485,91483.0,45000.0,2018-09-21 14:39:00
2018-09-21 14:40:00,292.485,292.49,292.42,292.42,85530.0,45000.0,2018-09-21 14:40:00
2018-09-21 14:41:00,292.44,292.44,292.41,292.41,67716.0,45000.0,2018-09-21 14:41:00
2018-09-21 14:42:00,292.41,292.44,292.409,292.41,89747.0,45000.0,2018-09-21 14:42:00
2018-09-21 14:43:00,292.42,292.42,292.37,292.39,145681.0,45000.0,2018-09-21 14:43:00
2018-09-21 14:44:00,292.38,292.4,292.37,292.38,128614.0,45000.0,2018-09-21 14:44:00
